,kLa_10,kLa_25,kLa_50,kLa_inst_10,kLa_inst_25,kLa_inst_50,dtmix_0.50,dtmix_0.75,dtmix_0.95,vor_mean,vel_rms_qss,kla_fit_rmse_25,tau_95_qss,tau_98_qss,tau_100_qss,tau_95_max,tau_98_max,tau_100_max
62,53.12018983786999,52.72281725883956,53.78070581743144,59.29871974867319,47.04887744184045,49.02821004033799,14.9584207892097,29.9168415784194,70.51826943484566,0.6580932491153746,0.2253326118116919,0.0012476277355011,0.0026435957541042,0.0042463901622651,0.0273813790943202,0.0034363948572832,0.005364697598283,0.0492891677365337
63,52.571375248002525,62.95454853435912,55.68332038040614,62.33686885615645,59.89915924402637,61.78977035622559,7.536627703183506,15.073255406367013,52.00273115196618,0.8279835291411618,0.3320868232291389,0.0010880882923457,0.0024382047349729,0.0043275831589664,0.0268770625070041,0.0031137899196537,0.0060562242889469,0.0517896925728691
64,57.920895455554856,50.54004058405894,50.00892562444108,49.78061972843802,57.66678907754444,55.82224080737014,15.944098109016288,33.96786118877386,82.49337717273654,0.6423801758831886,0.2331787572089421,0.0010572795043182,0.0029366358342996,0.0048832601256389,0.0255991095741427,0.0038432284253734,0.0057648426380601,0.0425807318813018
65,58.357273511094526,33.02474523429717,29.124639534564867,51.308731671924726,32.69712567811529,29.022739722273663,28.353343169809843,47.255571949683045,100.58686029289674,0.6474625307870927,0.2461358542726027,0.0005821148896382,0.0031959265812485,0.005466241576626,0.0251109496682845,0.0042097066717876,0.0066444821910382,0.0397494722818698
66,48.64549502805501,34.11264128730227,31.36059707333879,54.45153668383745,29.1074304633546,35.6273394962089,19.09510866538211,31.24654145244343,82.74547088332253,0.6447077463645716,0.2365538906703483,0.0006621106206467,0.0034009860493499,0.0058496803249954,0.0261239975736472,0.0044257972981376,0.0080102380195898,0.0395474737439934
67,61.2146856513517,65.84285397717608,54.92893101488836,67.61139984611496,66.62421460859935,54.66060794069933,10.67240270127746,23.85595897932623,70.31230014959307,0.7161281405115886,0.2299832415828227,0.0008733798053261,0.0024560679594962,0.0041810102050089,0.0266625232990088,0.0033875142534518,0.0057777390330838,0.0480994578145753
68,60.42186353488517,55.53952994834766,55.57529677864635,60.9595954436614,49.07460342246619,51.97948536321169,8.397956583547316,17.44190982736756,38.75979961637231,0.878061265706377,0.29357292612252,0.0009817375449324,0.0024001993852606,0.0043095636050528,0.0253422690473638,0.0029600177616695,0.0060545722545325,0.0508892711588949
69,64.39991889696284,48.63832142930705,58.92330497266891,66.97072329855067,46.73249990697805,66.26852241307715,12.210955746293624,25.03245927990198,72.04463890313244,0.6738760512719926,0.2061348228256198,0.0004972981935996,0.0027727657274529,0.0045244556470384,0.0264841747246034,0.0036606825194569,0.0059084576771899,0.0447804615875967
70,53.78543143865537,51.843813467309324,44.07456929999763,56.11493757508117,59.12764051835968,48.39939334670422,19.01407973249152,33.27463953186008,83.1865988296503,0.6246068955938636,0.2215999532668703,0.0010925683583909,0.0030747277545353,0.0052958335767227,0.0246575141446149,0.0039009111436109,0.0066797628902396,0.0455472737407771
71,49.21680002076527,50.91175365759739,45.20268686813655,41.03433574149974,57.54915624574032,48.427201988301725,21.83648219278329,36.91405323065744,88.38576125650344,0.6360820599386872,0.2042282961723341,0.0007028950962247,0.003168712080984,0.0057016909972676,0.0268489776695607,0.0040028842588335,0.0076664164179305,0.0417194759284418
72,57.64966957564189,66.18240035818377,48.54480717597643,62.30365522327578,72.71528840858554,53.213380525657946,8.478706166081444,15.826918176685426,40.13254251945214,0.8281681085451735,0.2658408332840465,0.0008048881526447,0.0024986756131765,0.0043690927777927,0.0245544457754683,0.002935641619464,0.0053594747248038,0.0442433460793677
73,64.5413105420709,60.15343799020194,51.400797434914224,60.56547456418544,65.16562566056072,50.797502017283165,10.98629689837393,22.52190864166668,70.31230014959321,0.671002839039133,0.2185534603194658,0.00103935833587,0.0027098464776481,0.0044876408139855,0.0274810289012401,0.0033454373131836,0.0052545917837505,0.0448706085754302
74,30.941924504067487,39.93836199191212,32.09422561316588,29.592812827829867,40.43094146319447,34.859959076140136,21.7074407615331,38.48137225908152,87.32311397253127,0.7404391149891204,0.2594483870348699,7.45430690067596e-05,0.0036096653875315,0.0070878059613382,0.0256876537793522,0.0047895112712133,0.0101259469874729,0.0522814986317915
75,61.15803745028793,61.03534351784275,48.98843486295795,69.16847899981235,65.36478146566625,56.28950795946675,8.541511396941393,16.580580947003774,45.722208065980055,0.8237783086035348,0.2260069090982082,0.0010721795784073,0.0024529228486415,0.0041951988100757,0.0274583982878056,0.0029460049643032,0.0052883455501958,0.0605833143515473
76,57.67029706196775,67.58060886287556,62.20625809380897,60.34054542812744,68.07885623710949,69.1762953016351,10.25387710514899,22.705013589972744,63.72052201056875,0.7237984660764561,0.2634164848568458,0.0007155143281268,0.0024263429263625,0.0040508934818577,0.0278227242204402,0.0030781123459165,0.0054919363687582,0.0472552781361248
77,43.39743059563122,36.17636059458047,47.692492293514285,51.1232250982876,38.34084954884568,48.569615461390015,16.4450308799494,24.99644693752307,62.49111734380772,0.747213074638431,0.2775696634284481,0.000302759111231,0.0033748507762847,0.0061186819211413,0.0251192381104117,0.0045766003433142,0.0075164813303979,0.0424032712612659
78,58.45395512129411,59.235989306050776,53.413393041918326,58.63119022491211,53.24391292086847,56.31837771352179,13.183556278048664,25.390552831797475,74.70681890894265,0.6746941037770369,0.181301219951086,0.0010185811778141,0.0025875883261111,0.0043471586639699,0.0269645472673588,0.0033235591683899,0.0052560170784898,0.0450722470028543
79,56.53399158053229,48.33425601912983,44.57210759333304,53.157109734655535,44.117223277729416,52.27738878708048,13.77124453609784,29.44197107717458,76.92902120164979,0.7315773738824436,0.1874555385422909,0.0007702332634137,0.0027678441632736,0.0051437738301702,0.0268320383593065,0.0038161525258958,0.0068572564692415,0.0422404803402729
80,44.79837629991245,43.58736672376498,42.764903477575245,47.01038429366568,38.72680663175526,50.62228363180064,21.60254717699789,37.35440449355891,81.90965804611724,0.7897136779397582,0.2281327665336948,0.001167819628302,0.0033880589048251,0.0067289375797258,0.0244688891728462,0.0046049323824586,0.0096858327482954,0.0359677510836286
81,40.2972545669892,43.27511283193363,36.28930186374933,34.75319712974116,44.15056410511309,39.94710573983198,18.418434585543284,30.69739097590556,66.21865767659625,0.8462477820000581,0.2524010568729318,0.0003130864950418,0.0036377371050987,0.0078431383844335,0.0262984151517696,0.0050264295059177,0.0113165918460467,0.0374823451120185
82,46.77847192315034,43.237658029711696,40.079959302507554,44.975622497638,50.846906302006296,47.466388298296,19.87235416486096,33.73678730313601,76.7165300317886,0.7166968569035895,0.2020349329944023,0.0007538898535032,0.0030783758705322,0.0059841880509542,0.0264863463412152,0.0040512230602415,0.0081309482459989,0.039388532840802
83,48.17366664004292,57.44045855559552,49.32795614570576,53.48555915942295,59.156801215879845,55.5783008601567,12.821503533608308,27.352540871697624,72.65518669044707,0.7690739179981491,0.1917326163955482,0.0004464383864537,0.0029965979585417,0.0057368576772578,0.0281689429641423,0.0037364510595324,0.0072618161414255,0.0432560300684858
84,56.92256641065641,47.73966139357535,49.85904284403622,53.99098414793279,49.38349146024969,50.61966081311766,14.9584207892096,28.31415363671825,75.86056257384908,0.654583505380105,0.2062080206720087,0.0007216369123129,0.0027934931454809,0.0048894260055364,0.0264220379794106,0.0037559877186008,0.0061552219412426,0.0506528604829814
85,49.156893990544106,51.52420439812553,45.14430109788553,41.03817994791631,59.702569179392896,43.66083101660485,13.024464456919972,24.075525208246017,82.48827489382634,0.9307739157170968,0.2562143929518057,0.0006405184621149,0.0038265323954022,0.0085385927687052,0.027106650715694,0.0052385961611649,0.0128953762968516,0.0594098090743968
86,54.47678265528343,51.44767352594003,51.37777226736998,55.74328777584319,44.872926962861605,42.56419021158154,14.501911905853383,26.367112556097428,76.9040782886175,0.6872703490515366,0.154975418119408,0.000858553393468,0.002711111896002,0.0044047885990807,0.0289887279426609,0.0034317433758309,0.0058659746159936,0.0438404350535015
